
"Protocol ID","PI Full Name","Building Name","Room Number","Agent List","Highest Biosafety Level"
"IBC0534(0)","Mastrianni, James","Surgery Brain Research Institute (SBRI)","J-215, J-215A","No Data, No Data, No Data, Saccharomyces cerevisiae, E. coli K12 or similar, Other, No Data, No Data, No Data, No Data, No Data, No Data, Lentiviral vector Lentivirinae","BSL2BSL3"
"IBC0551(1)","Di Rienzo, Anna","Cummings Life Sciences Center (CLSC)","429, 431E, 432B","No Data, No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data","BSL2"
"IBC0561(1)","Staley, Jonathan","","","E. coli K12 or similar, Saccharomyces cerevisiae, No Data, No Data","BSL1"
"IBC0568(0)","He, Tong-Chuan","Surgery Brain Research Institute (SBRI)","J-611, J-616, and J-620","No Data, No Data, No Data, No Data, E. coli K12 or similar, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Mouse Stem Cell Virus (MSCV) - Amphotropic/Pantropic, Mouse Stem Cell Virus (MSCV) - Amphotropic/Pantropic, Adenovirus- replication deficient, Adenovirus- replication deficient, No Data, No Data, No Data, No Data","BSL2"
"IBC0569(1)","Clark, Marcus","Jules F. Knapp Medical Research Center (JFK)","R302","No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, Mouse Stem Cell Virus (MSCV) - Ecotropic, No Data, No Data, No Data, No Data, No Data, No Data","BSL2"
"IBC0570(0)","Thinakaran, Gopal","Jules F. Knapp Medical Research Center (JFK)","R202, R202B, R202C, R203","Diphtheria Toxin, Tetrodotoxin (not more than 500 mg in the laboratory), Tetrodotoxin (not more than 500 mg in the laboratory), Tetrodotoxin (not more than 500 mg in the laboratory), Diphtheria Toxin, Diphtheria Toxin, No Data, No Data, No Data, E. coli K12 or similar, E. coli K12 or similar, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Murine Retrovirus - Amphotropic/Pantropic, Murine Retrovirus - Amphotropic/Pantropic, Murine Retrovirus - Amphotropic/Pantropic, Murine Retrovirus - Ecotropic, Adenovirus- replication deficient, Murine Retrovirus - Ecotropic, Adenovirus- replication deficient, Adenovirus- replication deficient, Murine Retrovirus - Ecotropic, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data","BSL2"
"IBC0572(1)","Prince, Victoria","Culver Hall (CH)","201","E. coli K12 or similar, No Data, No Data","BSL1"
"IBC0575(1)","Gupta, Mahesh","Albert Merrit Billings Hospital (AMB)","P509, 513, 517, 518","No Data, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Adenovirus- replication deficient, No Data","BSL2"
"IBC0598(0)","Cohen, Ronald","Knapp Center for Biomedical Discovery (KCBD)","8230","No Data, No Data, E. coli K12 or similar, E. coli K12 or similar, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data","BSL2"
"IBC0599(0)","Kossiakoff, Anthony","Gordon Center for Integrative Science (GCIS)","W219 A/G/J","No Data, No Data, No Data, No Data, E. coli K12 or similar, E. coli K12 or similar, Bacteriophage, Bacteriophage, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, No Data, Murine Retrovirus - Ecotropic, Lentiviral vector Lentivirinae, Murine Retrovirus - Amphotropic/Pantropic, Murine Retrovirus - Amphotropic/Pantropic, Baculovirus/Animal virus, Baculovirus/Animal virus, Murine Retrovirus - Ecotropic, Lentiviral vector Lentivirinae, No Data, No Data, No Data, No Data","BSL2BSL3"
