,Human NHP Cells in Animals,Infectious Agents in Animals,Infectious Agents in Animals Precautions,Shedding Infectious Agents,Shedding Time Length,Wild Caught Animals,Potential Zoonotic Disease,Potential Zoonotic Disease Precautions
0,True,False,,False,,False,False,
1,False,False,,False,,False,False,
2,False,False,"Containment for animals is a barrier mouse facility with limited access. All personnel wear coverups, head cover, shoe cover and gloves. This is primarily to prevent contamination of the mice with any wild mouse pathogens. The transgenic mice pose NO risk to people, however, the precautions are taken because people pose contamination risks to the mice. All animals are destroyed by Animal Care staff.",False,,False,False,
3,False,True,"Nodamura virus is rapidly cleared in mice 21 days or older after birth, is virulent only to suckling mice, and is not known to spread in mouse colonies or to other animals. Thus, no special precaution is necessary. AAV particles produced after co-transfection with the helper plasmids are for single-cycle infection only and the mice injected with these AAV particles do not produce infectious virus for secondary infection and thus do not have environmental or health hazards. Vaccine strains of human influenza A virus cause weight loss in adult mice, but they are not transmissible between mice.",True,Shedding of Vesicular stomatitis virus from tonsils is known to occur in pigs. Transmission of Sendai virus among mice is by direct contact or contaminated fomites.,False,False,
4,False,True,"All virus are non-replicating, thus pose little risk of environmental or health hazard when properly used. All virus will be stored in freezer in SOMRB 210A in a container and a secondary containment container. Same containment vessels will be used when transporting virus from freezer to biosafety hood in SOMRB 230D. Decontamination Procedures -As standard practice, surfaces and tools will be decontaminated with 70% ethanol or 10% bleach solution before and after work. -After viral work, surfaces will be decontaminated with 70% ethanol or 10% bleach where appropriate. -Tools will be sprayed with 70% ethanol and later autoclaved. Any material or liquid that comes in contact with virus is considered contaminated. Biohazard waste containers 	Must be covered when not in use 	Must contain at least one red biohazard bag Pipettes, tips, tubes, etc. used for viral work 	Decontaminate with 1:10 Bleach (the bleach stock used contains 10% sodium hypochlorite). Leave for 20 m",False,,False,False,
5,True,True,"needle stick injuries, reseacrehrs will be suitably trained to avoid needlstick injuries, needles will be placed in biohazard sharps bins and and all infectious material will be placed in biohazard containers and autoclaved.",False,,False,False,
6,True,True,"needle stick injuries, reseacrehrs will be suitably trained to avoid needlstick injuries, needles will be placed in biohazard sharps bins and and all infectious material will be placed in biohazard containers. All biohazard items will be double bagged, labelled with ""Wilson Lab"" , the date and picked up by EH&S for autoclave.",False,,False,False,
7,False,False,"We infect primary neurons with replication-incompetent lentivirus or AAV, which can infect a broad range of human cells. supplies in contact with lentivirus and AAV are rinsed with 10% bleach before disposal. Experimenters use double gloves and disposal sleeves in addition to regular PPE.",False,,False,False,
8,False,True,"AAV infects human cells but poses no known risk to human or animal health. Personnel will work with live virus using appropriate personal protective equipment (PPE) including gloves and lab coat. Special care will be taken in the handling and proper disposal of any sharps during the injection process. Contaminated materials and unused agent will be inactivated using 1:10 bleach and soaking for 20 min, or commercial virucidal agent such as MB-10 and soaking for the indicated duration, followed by disposal in a biohazard waste container. Work areas will be disinfected using bleach solution or commercial virucidal (MB-10) spray for wipe-down. Personnel will receive training in these procedures.",False,,False,False,
9,False,True,"The replication deficient viruses that we will use will only infect cells in the injected animals in a local manner. Any instrument or material that comes in contact with blood or virus will be disinfected with 10% bleach. All equipment used (including pipettes and pipette-aids) will be sprayed and/or soaked in 10% bleach solution after use to disinfect. After disinfection, all pipettes, pipette tips, tubes and tissue culture plates will be disposed in a red biohazard bag. All liquid waste will be aspirated into a flask containing bleach, inside a hood. Personnel will be protected by wearing gloves, coat and goggles. Animals will be transferred to a clean cage after 48 hours and bedding will be disposed in a biohazard red bag.",False,,False,False,
