,List of Agents,Host of Range of Agent,id
0,human blood monocytes,humans,20190025
1,human spleen macrophages,human,20190025
2,human hepatocytes,human,20190025
3,human embryonic kidney cells,human,20190025
4,Normal and cancerous human bronchial epithelial cells,human,20190025
5,Normal and cancerous human cervical epithelial cells,human,20190025
6,brome mosaic virus,barley leaves,20190025
7,ovarian cancer cells,human,20190025
8,erythrocytes,mice,20190025
9,eryhtrocytes,bovine,20190025
10,breast cancer cells,human,20190025
11,endothelial cells,human,20190025
12,endothelial cells,human,20190025
13,erythrocytes,human,20190025
14,spleen macrophages,mice,20190025
15,Kupffer cells,mice,20190025
16,Unidentified - whole soils,US Soils,20180022
17,Unidentified - whole live slugs,Riverside County,20180022
18,E. coli Samp,non-infectious strain,20150069
19,MS2 bacteriophage,E. coli,20150069
20,Transposable elements,"Insects, human cells, yeast",2018003501
21,Dengue virus,"Humans, mosquitoes",2018003501
22,E coli B strain derivatives,human,20180011
23,E coli K-12 derivatives,human,20180011
24,entropathogenic E.coli E2348/69,human,20180011
25,Fusarium oxysporum,"Humans, mice",2017004401
26,microbial rRNA genes,,20190026
27,Erysipelatoclostridium ramosum. Bacteroides vulgatus. Erysipelatoclostridium innocuum. Lactobacillus johnsonii Lactobacillus animalis. Escherichia coli.,,2017004801
28,lentiviral vectors,,2016004601
29,,rodent,2016004601
30,E. coli,,20190012
31,E. coli k12,human,20190039
32,"HeLa cells, THP-1, and culture media",,20190022
33,Influenza H1N1 (for storage only),Human,20190022
34,"influenza A (H3N2) (for storage only), adenovirus type 9 (for storage only), rhinovirus type 3 (for storage only), coxsakievirus type A-3 (for storage only)",Human,20190022
35,Vibrio Cholerae,"Human, water birds, shellfish, fish, and herbivores.",20190022
36,Escherichia coli DH10B,"Human, birds, and amphibians",20190022
37,Escherichia coli (Migula) Castellani and Chlamers,"Human, birds, and amphibians",20190022
38,PC12 derived from pheochromocytoma of rat adrenal medulla,,20190022
39,"Adeno-associated virus, replication-incompetent",broad range of hosts,2017004601
40,"Lentiviruses, replication-incompetent",broad range of hosts,2017004601
41,"Herpes simplex virus type-1, replication-incompetent",broad range of hosts,2017004601
42,"Rabies virus, glycoprotein-deleted",broad range of hosts,2017004601
43,"Canine adenovirus, replication-incompetent",broad range of hosts,2017004601
44,,,20180050
45,Streptococcus pneumoniae,Human/primate,20180023
46,Listeria monocytogenes,Human/primate,20180023
47,Escherichia coli,Human/primate,20180023
48,Salmonella typhimurium,Human/primate,20180023
49,Mycobacterium marinum,Human/primate,20180023
50,Staphylococcus aureus,Human/primate,20180023
51,Heligmosomoides polygyrus,Mouse,20180023
52,Nippostrongylus brasiliensis,Rats and mice (rodents),20180023
53,Strongyloides ratti,Rats,20180023
54,Nodamura virus,mouse; human/primate/insect cell lines,20190017
55,Flock house virus,Insects; Nematode Caenorhabditis elegans,20190017
56,Murine leukemia virus-based plasmid vectors,Cultured mammalian cells,20190017
57,Adeno-associated virus-based plasmid vectors,Cultured mammalian cells and mice,20190017
58,human influenza A virus (regular H1N1 vaccine strains),Human; mouse,20190017
59,Dengue virus serotype 2 and 4,Immune-deficient mouse strains such as AG129; human,20190017
60,Vesicular stomatitis virus,"Horse, cattle, pigs, and wild rodents",20190017
61,Sendai virus,"Hamsters, rats, guinea pigs and pigs",20190017
62,Coxsackievirus B3 (CVB3): Nancy and H3 isolates,Huamn/mice,20190017
63,"ZIKA virus, strain H/PF/2013","Human, mouse",20190017
64,Plasma,Human,2018003401
65,Canine Adenovirus (CAV2)-CRE retrograde virus,Mouse,2018003401
66,AAV-ChAT-DIOhm3d(Gq)-mCherry,Mouse,2018003401
67,AAV-ChAT-DIOhm3d(Gi)-mCherry,Mouse,2018003401
68,fCB1R-AAV,Mouse,2018003401
69,"Various toxic, mutagenic and carcinogenic agents",mammals,20170015
70,E. coli,Human/mammal,20170015
71,Escherichia coli,Human,20190040
