,Are you using the wild-type of the agent?,"Are you using genetically modified infectious agents (rDNA, mutagenesis, etc.)?","If “yes,” please describe the agent and any potential safety issues.",Do the experiments have the potential to increase the host range of the agent?,Is the vector replication competent?,Are you using fusion proteins or cell entry domains?,"If “yes,” please describe any safety precautions you would recommend.","Are you using human or primate blood, blood products, cells, cell lines or tissues","If yes, please describe the blood, blood products, cells, cell lines or tissue and detail how the sample will be worked with during experimentation. Please include vendor information such as the ATCC number if available."
0,True,False,,False,False,False,,True,"human blood monocytes, mouse erythrocytes, bovine erythrocytes, human blood. Human blood will be acquired from commercial sources."
1,True,False,,False,False,False,,False,
2,True,True,"We seek to develop hyperactive forms of these transposable elements using both targeted and random mutagenesis, followed by testing in bacteria and/or fungi, and then in the insect. For dengue we will procure the virus from the CDC MR4 collection",True,True,False,,True,The mosquitoes are fed on bovine blood using a membrane feeder. The blood is obtained from a commercial supplier.
3,False,True,E2348/69 with Streptomycin resistance. Ingestion of live cells can cause bloody diarrhea.,False,False,False,,False,
4,True,True,"We will construct strains deleted for genes encoding signal transduction and other proteins during this work. We anticipate that these mutations will likely lessen the pathogenicity of the strain. The wild-type versions of these two organisms are already present in the environment. However, all laboratory personnel will be informed of the risks associated for immunocompromised individuals.",False,False,False,,False,
5,True,True,cloning microbial rRNA genes into plasmid vectors and transforming them in e coli,False,True,False,,True,"When DNA from human and mouse cell lines is isolated, the first step is to homogenize the samples using a bead-beating machine, which is to be performed in a BSC. The second step is to centrifuge the tubes in a BSC. The third step is to open the tubes and pipette the supernatant to another tube containing a purification solution in a BSC. At this point, the remaining steps of the DNA extraction procedure can be performed outside of the BSC. After the DNA has been extracted from the samples, the DNA will then be analyzed by a variety of methods."
6,True,True,"We will track the movement of bacterial molecules into host cells using approaches including the use of methionine analogs AHA and ANL, the latter of which requires the bacteria be transformed with the pAM1 plasmid, which contains a modified version of the methionyl-tRNA synthetase gene.",False,False,False,,True,"The following eukaryotic cell lines are stored in SOM-RB Room 310B. Cell lines will be transferred from SOM-RB 310B to Boyce Hall 3427 and 3431 using a liquid nitrogen dewar labeled with the appropriate BioHazard label. Eukaryotic Cell Lines: HT-29 (ATCC HTB-38) (BSL1) Caco-2 (ATCC HTB-37) (BSL1) 3T3-L1 (ATCC CL 173) (BSL1) Jurkat (ATCC TIB-152) (BSL1) We will perform routine cell culture and molecular biology-based experiments with and without microbes such as Erysipelatoclostridium ramosum, Bacteroides vulgatus, Erysipelatoclostridium innocuum, Lactobacillus johnsonii, Lactobacillus animalis, and Escherichia coli to determine if these bacteria can infect the eukaryotic cell lines and/or influence their functioning (via gene expression and/or protein based analyses)."
7,False,False,,False,False,True,some molecules are fused to epitope tags such as fluorescent GFP (green fluorescent protein) to visualize sites of molecule expression within the cell,True,"the lentiviral packaging kit uses Hek cells, a human cell line to package rodent viral particles. We also will be using the U87 astrocytoma cell line that has been in culture for for more than a decade. We will be testing the immunosuppressive effect of co-culturing these astrocytoma cell lines with microgial/macrophage cells. We also will be using tissue sections from human brain cancer provided by non-profit repositories to quantify co-expression of astrocytic and microglial activation markers."
8,False,False,,False,False,False,,False,
9,True,False,,False,False,False,,True,"Hela cells, THP-1 from ATCC e.coli (Migula) Castellani and Chlamers from ATCC e.coli DH10B from Thermofisher scientific influenza from ATCC PC12 from ATCC Spiking human serum with bacteria cells both e coli and cholerae bacteria cells will be lysed to create complex background matrix for sample analysis."
