,Building,Room #,"List any containment facilities or equipment (biosafety cabinets, etc.) and their last certification dates.",CertificationDate,id
0,Psycology Vivarium,BSL2 Housing and BSL Proc Room,,,20190025
1,Keen Hall,1015,,,20190025
2,Materials Science and Engineering (MSE),268,,4/15/2019,20190025
3,Boyce Hall,3441,2 biosafety cabinets,1/31/2016,20180022
4,Boyce Hall,3413,,,20180022
5,Boyce Hall,3437,Fume Hood,1/31/2016,20180022
6,Atmospheric Processes Laboratory; CE-CERT,1086,,,20150069
7,AgOps Greenhouse,16-56,,,2018003501
8,Genomics,"2237, 2231/A, 2233/A, 2235","Biosafety cabinets, chemical hoods, ACL2 insectary",8/3/2018,2018003501
9,IQF,"226, 234, 236, 238","Secondary screens placed on doors of 234, 236 and 238.",8/8/2019,2018003501
10,Biological Sciences Building,2116,,10/5/2006,20180029
11,Genomics,"4126,4112A,4112B,4110,4108,410",4108 (Laminar flow hood),9/18/2015,20170016
12,Greenhouses 2 and 17,"GH2, GH17B",,,20170016
13,Boyce Hall,5413,,,20180011
14,Boyce Hall,5437,,,20180011
15,Boyce Hall,5447,,,20180011
16,Boyce Hall,5457,,,20180011
17,Boyce Hall,5461,,,20180011
18,Genomics,1211,,,2017004401
19,Genomics,1211A,,,2017004401
20,Genomics,1215,,,2017004401
21,Genomics,1219B,,,2017004401
22,Genomics,1219A,,,2017004401
23,Genomics,1219,,,2017004401
24,Genomics,1213,Class IIA/B3 Biological Safety Cabinet,1/15/2015,2017004401
25,MRB,4204G,Biosafety Cabinet,5/17/2019,20190026
26,MRB,4212A,Biosafety Cabinet,5/17/2019,20190026
27,MRB,4208,,,20190026
28,MRB,4208A,,,20190026
29,MRB,4204A,,,20190026
30,MRB,4205E,,,20190026
31,MRB,4208D,,,20190026
32,MRB,4204F,,,20190026
33,MRB,4213A,,,20190026
34,MRB,4208B,,,20190026
35,MRB,4212D,,,20190026
36,MRB,4204C,,,20190026
37,MRB,4212B,,,20190026
38,MRB,4204D,,,20190026
39,MRB,4212E,,,20190026
40,MRB,4216,,,20190026
41,MRB,4214,,,20190026
42,MRB,4205A,,,20190026
43,MRB,4218,,,20190026
44,MRB,4208E,,,20190026
45,MRB,4208C,,,20190026
46,MRB,4212C,,,20190026
47,MRB,4204E,,,20190026
48,MRB,4205D,,,20190026
49,MRB,4212,,,20190026
50,MRB,4204,,,20190026
51,MRB,CR4200B,,,20190026
52,MRB,4229,,,20190026
53,Boyce Hall,3427,BSC,3/7/2017,2017004801
54,Boyce Hall,3431,BSC,3/7/2017,2017004801
55,Boyce Hall,3413,,,2017004801
56,Boyce Hall,3413A,,,2017004801
57,SOM-RB,310B,,,2017004801
58,MRB,4213-B,,,2017004801
59,MRB,4205-D,,,2017004801
60,MRB,4205-A,,,2017004801
61,MRB,4213,,,2017004801
62,MRB,4205,,,2017004801
63,MRB,4208-B,BSC,3/13/2018,2017004801
64,MRB,4208-D,BSC,3/13/2018,2017004801
65,MRB,4212-C,BSC,3/13/2018,2017004801
66,MRB,4212-A,BSC,3/13/2018,2017004801
67,MRB,4204-F,BSC,3/13/2018,2017004801
68,MRB,4204-G,BSC,3/13/2018,2017004801
69,MRB,4204-A,BSC,3/13/2018,2017004801
70,MRB,4213-A,BSC,3/13/2018,2017004801
71,MRB,4205-E,BSC,3/13/2018,2017004801
72,MRB,4208-A,,,2017004801
73,MRB,4208,,,2017004801
74,MRB,CR4200-B,,,2017004801
75,MRB,4208-E,,,2017004801
76,MRB,4208-C,,,2017004801
77,MRB,4212,,,2017004801
78,MRB,4216,,,2017004801
79,MRB,4214,,,2017004801
80,MRB,4212-D,,,2017004801
81,MRB,4218,,,2017004801
82,MRB,4204-E,,,2017004801
83,MRB,4204,,,2017004801
84,MRB,4212-B,,,2017004801
85,MRB,4204-D,,,2017004801
86,MRB,4204-C,,,2017004801
87,MRB,CR4200,,,2017004801
88,Boyce East Vivarium,ventilated rack room,,,2016004601
89,Webber,1317,3 biosafety cabinets,11/20/2009,2016004601
90,Pyschology,V3,,,2016004601
91,Webber Hall,2101B,3 BSC cabinets,1/30/2017,2016004601
92,MRB,1204A,2 BSC cabinets - will be recertified after move into MRB,1/30/2018,2016004601
93,MRB,1208A,,,2016004601
94,MRB,2 open space bays next to 120,,,2016004601
95,Boyce Hall,"4412, 4412A, 4400A, 4414",,,20190012
96,Genomics,4229A,,,20190039
97,Genomics,4229B,,,20190039
98,Batchelor Hall,1107,,,20190039
99,Genomics,4235,,,20190039
100,Genomics,4233,,,20190039
101,Genomics,4231,,,20190039
102,Genomics,4229,,,20190039
103,Batchelor Hall,2211C,,,20190039
104,genomics,4237,one laminar flow hood,7/29/2016,20190039
105,CAF,1,,,20190039
106,Genomics,4227,one fume hood,3/30/2016,20190039
107,Chemcial Sci,"313, 317, 319, 321","Biosafety cabinet, CO2 incubator, incubator, autoclave, -80 freezer, refrigerator, cryo cell storage Dewar",8/1/2015,20190022
108,New Psychology Building,1406,"Biosafety Cabinet Class II, Type 2A (re-certified annually)",1/1/2015,2017004601
109,Biological Sciences Building,1206,Fume hood,4/17/2015,2017004601
110,Biological Sciences Building,1215,Fume hood,2/27/2015,2017004601
111,Biological Sciences Building,"1205, 1205A, 1206, 1207,1215","Animal housing, surgery, behavioral and physiological testing (AUP# A-20140033)",2/10/2015,2017004601
