,List of Agents,Host of Range of Agent,id
0,brome mosaic virus,barley leaves,20190025
1,Agrobacterium tumefaciens,broad range of dicots and monocots,20170016
2,Agrobacterium rhizogenes,broad range of dicots,20170016
3,Fusarium oxysporum,"Tomato, Arabidopsis thaliana, apple fruits",2017004401
4,Agrobacterium,most dicot plants,20190039
5,tobacco rattle virus,"tobacco, arabidopsis, soybean",20190039
6,"Agrobacterium tumefaciens (GV3101; ""disarmed strain"")","Arabidopsis, broad variety of dicots",20190041
7,Agrobacterium rhizogenes,"Isolated on Cucumis saliva, broad host range",20190041
8,Xanthomonas axonopodis,broad host range across dicots,20190041
9,Agrobacterium radiobacter,broad host range across dicots,20190041
10,Sinorhizobium rhizogenes,broad host range across dicots,20190041
11,"Cucumoviruses (Cucumber mosaic virus and tomato aspermy virus), citrus tristeza virus","cucumber, tomato, tobacco, citrus",20190017
12,"turnip crinkle virus, turnip mosaic virus",Arabidopsis thaliana,20190017
13,possible new viruses and viroids,citrus; tomato,20190017
14,tomato yellow leaf curl virus,"Tomato, tobacco",20190017
15,Agrobacterium tumefaciens,"Arabidopsis, other dicots",20190040
16,Agrobacterium tumefaciens,"most dicot plants, including tomato and potato etc",20180051
17,Hyaloperonospora arabidopsidis,Arabidopsis thaliana,20180020
18,Agrobacterium tumefaciens,plants,20180020
19,Pseudomonas syringe DC3000 pv tomato,"Arabidopsis, tomato",20180020
20,Botrytis cinerea,plants,20180020
21,Phytophthora cinnamonmi,avocado,20160080
22,Rhizoctonia solani,"maize, rice, sugar beets",20160080
23,Fusarium oxysporum,"tomato,",20160080
24,Alternaria species,spinach,20160080
25,Pseudomonas syringae,cabbage,20160080
26,A. tumefaciens,extensive,2017002501
27,Agrobacterium,both dicots and monocots,20190033
28,"Botrytis cinerea, Pseudomonas syringae, Alternaria, Verticillium Dahliae, tobacco mosaic virus, P. infesting","Arabidopsis, tomato, potato, strawberry, lettuce, onion, rose, grape",2019002101
29,"Phytophthora infestans, and other Phytophthora spp. (capsici, phaseoli, sojae cinnamomi)","vegetables, tubers, trees.",20190030
30,Tobacco rattle virus,wide host range including species in Solanaceae,20170032
31,Agrobacterium tumefaciens,wide host range,20170032
32,Pseudomonas syringae,"wide, including tomato, Arabidopsis and Nicotiana benthamiana",20170032
33,Pseudomonas fluorescens,wide host range,20170032
34,Agrobacterium tumefaciens,"Arabidopsis thaliana, Zea mays",20180049
35,Agrobacterium tumefaciens GL3101,plants,20180028
36,Pseudomonas syringae,"soybean, Arabidopsis, Nicotiana benthamiana",20180041
37,Agrobacterium tumefaciens,"Nicotiana benthamiana, Arabidopsis",20180041
38,Phytophthora sojae,soybean,20180041
39,Phytophthora capsici,"Arabidopsis, Nicotiana benthamiana",20180041
40,Phytophthora infestans,"Nicotiana benthamiana, tomato",20180041
41,Spiroplasma citri,citrus,20180041
42,Phytophthora cinnamomi,Avocado and others,20180021
43,Pseudomonas syringae pathovar tomato (PstDC3000),Tomato,20180021
44,arbuscular mycorrhizal fungi (AMF) (Glomus sp.),"Avocado, potato, and tomato",20180021
45,Phytophthora infestans,"Potato, tomato, tobacco",20180021
46,Turnip Crinkle Virus (TCV),Arabidopsis thaliana and Nicotiana benthamiana,20180021
47,Botrytis cinerea,"Tomato, grapes, Arabidopsis",20180021
48,P. syringae pv tabaci 11528R,Tobacco,20180021
49,Potato virus X (PVX)-GFP,"potato, tobacco",20180021
