,General features of the DNA,Species from which DNA originated,"Species to receive DNA, type of vector, and transformation method",id
0,"cDNA, genomic DNA, viral DNA, structural genes and their promoters, 5'UTRs, 3'UTRs, recombinase genes, small RNAs.","Drosophila melanogaster, D. mauritiana, Trichoplusia ni, Aedes aegypti, Anopheles gambiae, Anopheles stephensi, Escherichia coli, Saccharomyces cervisiaie, Aequuorea victoria, Myotis, Culex pipiens qu","D. melanogater, Ae. aegypti, An. gambiae, An. stephensi, Cx. p. quinquefascaitus, E. coli, S. cerevisiae, Homo sapiens.",2018003501
1,"Saccharomyces cerevisiae open reading frames and epitope (HA, myc) fusion proteins expressed behind endogenous promoter, GAP promoter, GAL promoter or ADH promoter",Saccharomyces cerevisiae,"Saccharomyces cerevisiae, E.coli/cerevisiae shuttle plasmids, Lithium acetate transformation",20180029
2,"Chimeric DNA constructs comprised of DNA from multiple sources. T-DNA from Agrobacterium tumefaciens. Nuclear, plastid or mitochondrial DNA encoding partial or complete cDNA or genomic DNA sequences f","Plant, marine invertebrate, virus or bacterial species.","The plants Arabidopsis thaliana, Oryza sativa, Zea mays, Nicotiana tabaccum. Transformation is by Agrobacterium mediated transformation or by particle bombardment mediated transformation.",20170016
3,"Nuclear, plastid or mitochondrial DNA encoding partial or complete cDNA or genomic DNA sequences for genes of plants. Regulatory components of genes of virus or bacterial origin. Selectable marker an","Plant, marine invertebrate, virus or bacterial species.",E. coli auxotrophic vectors used for gene cloning.,20170016
4,"Nuclear, plastid or mitochondrial DNA encoding partial or complete cDNA or genomic DNA sequences for genes of plants.","The plants Arabidopsis thaliana, Oryza sativa, Zea mays, Nicotiana tabaccum",Agrobacterium tumefaciens transformed by electroporation with disarmed T-DNA constructs,20170016
5,"Nuclear encoded genes; chimeric constructs, encoding metabolic enzymes, transcription factors, RNA binding proteins, translational machinery, antibiotic resistance genes, herbicide resistance genes, r","Zea mays, Oryza sativa, Arabidopsis thaliana","Zea mays, Oryza sativa, Arabidopsis thaliana, tobacco, transient or stable transformation by electroporation, bombardment, VIGS or Agrobacterium mediated transformation",20170016
6,Viruses: limited to viral promoters and viral mRNA 5' untranslated regions,Cauliflower mosaic virus (promoter) and Tobacco mosaic virus 5'UTR,"Zea mays, Arabidopsis thaliana, Oryza sativa, Nicotiana tabaccum",20170016
7,Chimeric DNA constructs as described in the four examples above,As described in the four examples above with the addition of plant DNA from additional species including Medicago truncatula and Nicotiana benthamiana,"as described above for Arabidopsis, Oryza, Zea and Nicotiana species will also include Medicago truncatula and Nicotiana benthamiana",20170016
8,Transcription and translation factor variants expressed from an inducible promoter from a synthetic plasmid with a selection marker.,E.coli,multiple variants of E. coli K-12 and strain B will be transformed either by electroporation or heat shock,20180011
9,"Genes include heterotrimeric G proteins, histidine kinases, response regulators, histidine phosphotransfer proteins, mitogen-activated proteins kinases and transcription factors. Selectable markers ar",Fusarium oxysporum and Aspergillus nidulans (trpC and gpdA promoter only).,Fusarium oxysporum will receive DNA. Integrating vectors will be used. Spheroplast-mediated transformation or electroporation will be used to introduce DNA into F. oxysporum.,2017004401
10,"Genes include heterotrimeric G proteins, histidine kinases, response regulators, histidine phosphotransfer proteins, mitogen-activated proteins kinases and transcription factors. Selectable markers a",Neurospora crassa and Aspergillus nidulans (trpC and gpdA promoter only).,Neurospora crassa will receive DNA. Integrating vectors will be used. Electroporation is the transformation method.,2017004401
11,"Genes include heterotrimeric G proteins, histidine kinases, response regulators, histidine phosphotransfer proteins, mitogen-activated proteins kinases and transcription factors. Yeast nutritional ma",Neurospora crassa,Saccharomyces cerevisiae will receive DNA. Cen and two micron vectors will be used. Both lithium chloride mediated transformation and electroporation will be used to introduce the DNA into S. cerevi,2017004401
12,"Genes include heterotrimeric G proteins, histidine kinases, response regulators, histidine phosphotransfer proteins, mitogen-activated proteins kinases and transcription factors. Selectable markers ar",Neurospora crassa,Escherichia coli is recipient. Multicopy vectors such as pBluescript II and yeast two micron and cen vectors will be used. Transformation (using chemically-treated cells) and electroporation will be,2017004401
13,"Genes include heterotrimeric G proteins, histidine kinases, response regulators, histidine phosphotransfer proteins, mitogen-activated proteins kinases and transcription factors. Yeast nutritional mar",Fusarium oxysporum,Saccharomyces cerevisiae will receive DNA. Cen and two micron vectors will be used. Both lithium chloride mediated transformation and electroporation will be used to introduce the DNA into S. cerevisi,2017004401
14,"Genes include heterotrimeric G proteins, histidine kinases, response regulators, histidine phosphotransfer proteins, mitogen-activated proteins kinases and transcription factors. Selectable markers ar",Fusarium oxysporum,Escherichia coli is recipient. Multicopy vectors such as pBluescript II and yeast two micron and cen vectors will be used. Transformation (using chemically-treated cells) and electroporation will be u,2017004401
15,"Genes include heterotrimeric G proteins, receptors and transcription factors. Selectable markers are hygromycin resistance and nourseothricin resistance.",Chaetomium thermophilum DSMZ #1495 and Aspergillus nidulans (trpC and gpdA promoters only),Chaetomium thermophilum DSMZ #1495 will receive DNA. Integrating vectors will be used. Protoplasts will be transformed.,2017004401
16,"Genes include heterotrimeric G proteins, receptors and transcription factors. Selectable markers are hygromycin resistance and nourseothricin resistance.",Chaetomium thermophilum DSMZ #1495,Escherichia coli DH5alpha is recipient. Multicopy vectors such as pBluescript II and yeast two micron and cen vectors will be used. Transformation will be done using chemically-treated cells and electroporation.,2017004401
17,rRNA genes,"various bacterial, fungal and nematode taxa",plasmid vector in E. coli,20190026
18,"The DNA encodes partial rRNA genes. rRNA genes encode rRNA, which is a component of the ribosome. rRNA is not translated.","rRNA genes from inhabitants of the samples that will be examined. The sample types will be soil, nematode, plants, mouse and human cell lines.",E coli (DH5 alpha). Transformation methods: chemical and electroporation.,20190026
19,"We will track the movement of bacterial molecules into host cells using approaches including the use of methionine analogs AHA and ANL, the latter of which requires the bacteria be transformed with",Escherichia coli,"No ATCC numbers are available for the following. Erysipelatoclostridium ramosum, Bacteroides vulgatus, Erysipelatoclostridium innocuum, Lactobacillus johnsonii, Lactobacillus animalis, and Escherichia",2017004801
