,Will cultures of any recombinant organisms listed above exceed a volume of 10 liters?,"If so, where will the cultures be grown?","Does your experiment involve the transfer of a drug resistance trait to any microorganism, plant, or insect that does not acquire that trait naturally?","If “yes”, describe any potential environmental or health hazards of the experiments, including whether acquiring such a trait would compromise the use of the drug in medicine or agriculture.",Are you expressing genes encoding toxins with LD 50 less that 10 ng/kg of body weight?,"If “yes”, describe the toxic product and safety precautions.","Are you using hosts or vectors of rDNA (excluding E. coli K-12) that are viable pathogens of animals, plants, or microbes?","If “yes”, describe any potential environmental or health hazards, containment precautions, and disposal protocols.",Are you using recombinant DNA molecules containing the partial genome of any eukaryotic (plant or animal) virus?,"If “yes”, describe the molecules, including genetic maps and the fraction of virus genome present, and safety precautions.","Are your experiments likely to enhance the pathogenicity or extend the host range of a viral vector (e.g., introduction of novel control elements or a oncogene)?","If “yes”, describe the hazards and safety precautions.","Will you be using genes involved in cell cycle control in animals (oncogene, tumor suppressor, cytokine, etc.)?","If “yes”, describe the potential hazards.","Medical surveillance requirements or practices that you would recommend (antibody titering, etc.)?","If “yes”, list your recommendations in section 5."
0,False,,False,,False,,True,Bacillus subtilis - will be disposed of using BSL-2 procedures,True,The SV40 3' UTR,False,"NOT a viral vector, but it does have the potential to alter the host range of a transposable element.",False,,False,
1,False,,False,,False,,False,,False,,False,,False,,False,
2,False,,True,The NPTII gene confering kanamycin and the BAR gene conferring resistance to BASTA herbicide are used as selectable markers for plant transformation. There is no recognized danger of use of these and several other genes as a selectable marker in plant cells.,False,,False,,True,"The promoter region of the 35S RNA of the Cauliflower mosaic virus, the 5' untranslated region of the tobacco mosaic virus. These gene sequences are used to control plant gene expression. They do not pose any known danger.",False,,False,,False,
3,False,,False,,False,,True,"The E2348/69 may cause bloody diarrhea. Risk of accidental incorporation of E2348/69 will be minimized by administrative measures: (1) signage of the area in which live E2348/69 is handled, (2) restricting the access with a keyed doors; (3) sanitation of all surfaces potentially exposed to E2348/69 with 70% Ethanol after completion of work; (4) decontamination of all media by autoclaving or by 30 minute exposure to bleach (final concentration 10%) or to Wescodyne.",False,,False,,False,,False,
4,False,,True,"All engineered strains will be autoclaved prior to disposal. Potential environmental or health hazards are considered minimal. Neurospora crassa, Chaetomium thermophilum, Saccharomyces cerevisiae and Escherichia coli are not plant pathogens, and certain strains of S. cerevisiae (not used in these experiments) have nominal impact as pathogens (and only in immunocompromised hosts). Fusarium oxysporum and Fusarium solani are plant pathogens and certain subspecies/strains can cause infections in immunocompromised hosts. Special care will be taken while working with F. oxysporum in the laboratory. All transfers will take place in a biosafety hood and all experiments with infected plants will be performed in plant growth chambers. All materials will be autoclaved prior to disposal.",True,"Not sure of LD50 of hygromycin B in humans. However, this drug is treated as toxic in the laboratory. It is dispensed in the biosafety cabinet using double-gloves and all transfer implements and media are immediately autoclaved after use.",True,"Fusarium oxysporum is a plant pathogen. Certain strains/subspecies have been known to cause infections in immunocompromised patients. Special care will be taken while working with F. oxysporum in the laboratory. All engineered strains will be autoclaved prior to disposal. All manipulations will be performed in biosafety hoods to ensure that laboratory personnel do not receive high exposure to fungal spores. Inoculations of plants will be performed using microconidial suspensions, with infection via the roots of intact plants or through injection into the tomato fruit. After infection, plants will be maintained in plant growth chambers. Irrigation water will be collected and both water and trays will be decontaminated using bleach. Most experiments will be terminated prior to production of spores. In cases where sporulation may occur, infected plants will be incubated in a closed container. Fruits will be maintained in containers in laboratory.",False,,False,,False,,False,
5,False,,False,,False,,False,None of the bacteria that we are examining are known pathogens.,False,,False,,False,,False,
6,False,,True,"in generating constructs, the intermediate stage in constructing the plasmid/lentiviral vector includes a amp-resistant plasmid to grow up sufficient quantities in E coli to sequence the plasmid",False,,False,,True,lentiviral vectors are non-replication competent vectors being sold by invitrogen and ozgene: specifically the pLenti6 vector system from Invitrogen's ViraPowerï¿½ Lentiviral Expression System,False,,True,"The purpose of these experiments is directly test whether overexpression or knock-down of expression modifies the ability of microglia to produce cytokines and become activated. We will specifically test these parameters. Changes in cellular activity of microglia in culture does not present a foreseeable hazard, but we will be testing and reporting any changes in microglial activity to the scientific community for their analysis.",False,
7,False,,True,We use antibiotic resistance as a marker gene for selection of transformants. I do not envision such antibiotics be used in Agriculture.,False,,True,"Agrobacteria and viruses may infect other plants if released. We autoclave Agrobacteria, viruses and plants infected with them and any containers that come in contact with them. In case of a spill, we treat the surface with chlorox to kill the pathogens.",True,"We occasionally use P19 and other RNA silencing suppressor proteins, which are encoded by plant viruses in a plasmid. These portions of the viral genome are not sufficient to cause infection by the viruses since they lack many other key genes in the viruses.",False,,False,,False,
8,False,,False,,False,,False,,True,"We will use recombinant viruses (AAV, Lentivirus, HSV-1 and rabies virus). These viruses are derived from wild type viruses by replacing viral genes required for viral assembly and replication with transgenes. Thus, they are unable to grow in infected cells independently without appropriate helper virus. However, these viruses encode genes, which allow them to enter cells (e.g. neurons). After entering cells, they express transgenes under control of the transcriptional regulatory system.",False,,False,,False,
9,False,,True,"Bacterial genes encoding resistance to beta-lactams, chloramphenicol and aminoglycosides are used for selection of plasmid vectors. There is no hazard because all cultures are destroyed by autoclaving or detergent lysis.",False,,False,,False,,False,,False,,False,
10,False,,False,,False,,False,,True,"Expression of proteins is driven by the cytomegalovirus (CMV) promoter or Herpes Virus Thymidine kinase promoter that is incorporated in the plasmid DNA. Plasmids are propagated in the E.Coli K12 strain (DH5alpha) bacteria and introduced into mammalian cell by transfection. All discarded materials are destroyed by bleach, autoclaving, or EH&S. Tissue culture materials are treated with 10% bleach solution, are discarded in biohazard safety bags and are autoclaved.",False,,True,"cell cycle genes and cytokines expression vector in plasmids are propagated in the E.Coli K12 strain (DH5alpha) bacteria and introduced into mammalian cell by transfection. All discarded materials are destroyed by bleach, autoclaving, or EH&S. Tissue culture materials are discarded in biohazard safety bags and are autoclaved.",False,
